tspan,sigma1,sigma2,sigma3
0.04814,0.9330611,0.9444946,1.0017277
0.04815,0.9310477,0.9428793,0.99976635
0.04816,0.92877734,0.9410006,0.99706066
0.04817,0.9263849,0.9389726,0.99374735
0.04818,0.92400837,0.93691957,0.99002504
0.04819,0.92178154,0.93497074,0.9861301
0.0482,0.9198283,0.93325377,0.9822912
0.04821,0.91825736,0.9318859,0.97865164
0.04822,0.9171576,0.93096375,0.9754903
0.04823,0.91659284,0.9305547,0.97300315
0.04824,0.9165971,0.9306891,0.9713002
0.04825,0.9171697,0.93135786,0.9705002
0.04826,0.918273,0.93251383,0.9706376
0.04827,0.9198321,0.9340777,0.9717171
0.04828,0.9217392,0.9359466,0.97367525
0.04829,0.9238603,0.93800247,0.9763926
0.0483,0.92604613,0.94012094,0.97968346
0.04831,0.92814255,0.9421764,0.98338616
0.04832,0.93000305,0.9440473,0.98731846
0.04833,0.9314976,0.9456206,0.9912751
0.04834,0.93252105,0.9467963,0.9950501
0.04835,0.93299913,0.94749445,0.99838793
0.04836,0.9328915,0.9476615,1.0011756
0.04837,0.932195,0.94727767,1.0032598
0.04838,0.93094313,0.94636095,1.0045782
0.04839,0.9292048,0.94496846,1.0050834
0.0484,0.92708135,0.94319296,1.0048065
0.04841,0.92469907,0.9411548,1.0037938
0.04842,0.922202,0.9389914,1.0021319
0.04843,0.91974187,0.9368455,0.99994695
0.04844,0.9174683,0.9348535,0.9973941
0.04845,0.91551894,0.93313617,0.9946572
0.04846,0.9140116,0.9317924,0.9919047
0.04847,0.91303736,0.93089515,0.98930526
0.04848,0.9126558,0.93049073,0.9870454
0.04849,0.9128915,0.93059796,0.98525757
0.0485,0.91373205,0.9312095,0.98404235
0.04851,0.9151278,0.9322923,0.9834789
0.04852,0.91699356,0.9337878,0.9835932
0.04853,0.91921294,0.93561375,0.98434746
0.04854,0.9216454,0.93766576,0.98561
0.04855,0.9241346,0.9398212,0.9872662
0.04856,0.9265201,0.9419461,0.98932433
0.04857,0.9286481,0.94390404,0.9916705
0.04858,0.93038166,0.94556695,0.99414605
0.04859,0.93161,0.9468266,0.99662435
0.0486,0.932255,0.9476044,0.9989394
0.04861,0.9322753,0.9478583,1.0009634
0.04862,0.93166804,0.94758534,1.0025818
0.04863,0.9304683,0.94681954,1.0037184
0.04864,0.92874676,0.9456258,1.0043364
0.04865,0.92660475,0.9440917,1.0044053
0.04866,0.92416847,0.9423193,1.0039592
0.04867,0.92158145,0.94041765,1.0030587
0.04868,0.9189954,0.9384972,1.0017735
0.04869,0.9165614,0.9366667,1.0002109
0.0487,0.91442096,0.93503034,0.9984936
0.04871,0.91269755,0.9336847,0.9967244
0.04872,0.91148967,0.9327153,0.99502784
0.04873,0.91086435,0.9321904,0.99344826
0.04874,0.91085297,0.9321557,0.99210954
0.04875,0.9114489,0.93262815,0.99117184
0.04876,0.9126062,0.9335917,0.9906161
0.04877,0.914242,0.934996,0.9905372
0.04878,0.91624165,0.9367585,0.9909397
0.04879,0.9184656,0.9387686,0.9917766
0.0488,0.9207604,0.94089603,0.99296063
0.04881,0.9229696,0.94299966,0.9944285
0.04882,0.9249447,0.94493854,0.9961107
0.04883,0.92655617,0.94658244,0.9978837
0.04884,0.9277008,0.9478221,0.9996185
0.04885,0.9283074,0.94857764,1.0011866
0.04886,0.92833936,0.94880456,1.0024658
0.04887,0.9277959,0.94849575,1.0033369
0.04888,0.92671084,0.9476812,1.0037341
0.04889,0.9251506,0.9464228,1.0036472
0.0489,0.9232106,0.9448083,1.0030634
0.04891,0.921011,0.9429426,1.0019089
0.04892,0.91868937,0.94094133,1.0002478
0.04893,0.9163936,0.9389231,0.99824965
0.04894,0.9142719,0.937006,0.9960265
0.04895,0.91246325,0.93530273,0.9936615
0.04896,0.9110882,0.9339169,0.9913507
0.04897,0.9102398,0.93293875,0.9891739
0.04898,0.9099779,0.9324389,0.9873007
0.04899,0.91032434,0.9324629,0.98590577
0.049,0.9112614,0.933025,0.9850746
0.049009997,0.91273236,0.93410474,0.9848776
0.04902,0.9146454,0.9356457,0.98535216
0.04903,0.9168782,0.9375577,0.98650146
0.049039997,0.9192865,0.9397234,0.9882946
0.04905,0.9217137,0.942006,0.99066806
0.04906,0.92400146,0.94426,0.99352694
0.049069997,0.92600095,0.9463413,0.99675065
0.04908,0.92758274,0.94811827,1.0001986
0.049089998,0.928645,0.9494802,1.0037189
0.0491,0.92911947,0.9503453,1.0071566
0.04911,0.92897415,0.9506657,1.0103648
0.049119998,0.92821443,0.9504309,1.0132123
0.04913,0.92688173,0.9496666,1.0155919
0.04914,0.92505026,0.94843245,1.0174251
0.049149998,0.9228233,0.9468161,1.018667
0.04916,0.9203277,0.9449264,1.0193063
0.04917,0.91770715,0.9428854,1.0193651
0.049179997,0.9151143,0.9408213,1.0188965
0.04919,0.9127016,0.93886137,1.0179801
0.0492,0.9106126,0.93712616,1.0167172
0.049209997,0.9089718,0.93572396,1.0152245
0.04922,0.9078772,0.9347452,1.013626
0.04923,0.90739334,0.9342569,1.0120463
0.049239997,0.907547,0.9342976,1.010603
0.04925,0.9083255,0.93487275,1.0093987
0.049259998,0.9096769,0.93595254,1.0085158
0.049269997,0.9115132,0.93747246,1.0080111
0.04928,0.9137156,0.9393375,1.0079122
0.049289998,0.91614157,0.94142807,1.0082161
0.0493,0.91863465,0.94360936,1.0088907
0.04931,0.9210349,0.9457408,1.0098757
0.049319997,0.92318964,0.94768566,1.0110877
0.04933,0.9249642,0.94931984,1.0124261
0.04934,0.92625,0.95053935,1.01378
0.049349997,0.9269713,0.95126724,1.0150363
0.04936,0.9270881,0.9514579,1.0160875
0.04937,0.9265972,0.95110023,1.0168395
0.049379997,0.9255308,0.95021904,1.0172176
0.04939,0.92395425,0.9488735,1.0171726
0.049399998,0.92196184,0.9471531,1.0166838
0.049409997,0.9196727,0.94517136,1.0157602
0.04942,0.91722476,0.94305766,1.0144417
0.049429998,0.914768,0.94094855,1.0127956
0.049439996,0.91245496,0.9389787,1.0109136
