tspan,sigma1,sigma2,sigma3
0.05402,0.86910605,0.8689965,0.8706477
0.054029997,0.87127835,0.8711718,0.8728341
0.054039996,0.8736509,0.8735472,0.8752174
0.05405,0.87607527,0.87597406,0.8776499
0.054059997,0.8783994,0.87830067,0.8799812
0.054069996,0.8804777,0.8803813,0.8820666
0.05408,0.8821802,0.88208574,0.88377666
0.054089997,0.88340014,0.8833074,0.8850043
0.0541,0.8840609,0.8839699,0.88567245
0.054109998,0.8841213,0.8840318,0.88573825
0.054119997,0.88357764,0.8834895,0.88519645
0.05413,0.8824638,0.88237715,0.88407993
0.054139998,0.88084984,0.8807647,0.882458
0.054149996,0.878837,0.8787534,0.8804318
0.05416,0.8765513,0.87646943,0.87812877
0.054169998,0.8741362,0.874056,0.8756938
0.054179996,0.87174314,0.8716644,0.8732796
0.05419,0.86952186,0.8694446,0.8710377
0.054199997,0.8676115,0.8675355,0.86910796
0.054209996,0.86613166,0.86605644,0.8676098
0.05422,0.86517453,0.86509997,0.8666351
0.054229997,0.8647997,0.86472535,0.86624205
0.054239996,0.86502993,0.86495566,0.8664526
0.05425,0.8658501,0.8657757,0.8672503
0.054259997,0.8672081,0.86713326,0.8685829
0.054269996,0.86901814,0.86894256,0.87036455
0.054279998,0.87116593,0.8710892,0.87248206
0.054289997,0.87351596,0.8734379,0.8748015
0.0543,0.87592053,0.8758404,0.87717664
0.054309998,0.8782282,0.8781456,0.8794575
0.054319996,0.88029367,0.8802081,0.8814998
0.05433,0.8819872,0.881898,0.8831742
0.054339997,0.88320225,0.8831091,0.8843738
0.054349996,0.88386256,0.8837652,0.8850211
0.05436,0.88392663,0.883825,0.88507354
0.054369997,0.8833908,0.8832848,0.8845264
0.054379996,0.88228893,0.88217884,0.8834127
0.05439,0.8806906,0.8805767,0.8818022
0.054399997,0.8786968,0.87857944,0.8797967
0.054409996,0.87643325,0.876313,0.87752324
0.054419998,0.87404287,0.8739201,0.87512636
0.054429997,0.87167645,0.8715515,0.87275827
0.054439995,0.8694833,0.86935675,0.8705689
0.054449998,0.86760175,0.8674742,0.8686968
0.054459997,0.8661506,0.8660226,0.86726
0.054469995,0.8652217,0.8650938,0.8663488
0.054479998,0.86487377,0.8647466,0.86602026
0.054489996,0.86512905,0.86500335,0.8662952
0.0545,0.86597186,0.86584824,0.86715686
0.054509997,0.8673496,0.86722875,0.8685523
0.054519996,0.8691761,0.8690584,0.8703954
0.05453,0.8713366,0.8712225,0.8725724
0.054539997,0.87369543,0.87358516,0.87494874
0.054549996,0.8761047,0.8759982,0.8773769
0.05456,0.8784127,0.87830985,0.8797058
0.054569997,0.88047445,0.880375,0.8817899
0.054579996,0.88216007,0.8820637,0.88349867
0.054589998,0.8833633,0.8832694,0.8847242
0.054599997,0.8840083,0.8839164,0.8853889
0.054609995,0.8840539,0.8839634,0.88545024
0.054619998,0.8834969,0.8834071,0.8849039
0.054629996,0.8823719,0.882282,0.88378406
0.054639995,0.880749,0.8806583,0.8821614
0.054649998,0.8787299,0.87863743,0.8801384
0.054659996,0.8764409,0.8763457,0.87784326
0.054669995,0.8740252,0.87392664,0.8754206
0.054679997,0.8716346,0.8715316,0.87302315
0.054689996,0.8694185,0.8693105,0.8708011
0.0547,0.8675159,0.8674024,0.8688929
0.054709997,0.8660461,0.86592674,0.86741734
0.054719996,0.865101,0.86497563,0.866465
0.054729998,0.8647399,0.8646087,0.8660943
0.054739997,0.8649852,0.86484855,0.86632717
0.054749995,0.8658216,0.86568,0.8671486
0.054759998,0.86719656,0.8670506,0.8685069
0.054769997,0.8690238,0.8688742,0.87031746
0.054779995,0.8711887,0.8710363,0.87246764
0.054789998,0.8735555,0.87340117,0.8748231
0.054799996,0.8759757,0.8758205,0.87723655
0.054809995,0.8782977,0.8781426,0.87955666
0.054819997,0.88037586,0.88022196,0.88163733
0.054829996,0.88207984,0.8819284,0.8833472
0.054839995,0.88330305,0.8831552,0.8845783
0.054849997,0.88396907,0.88382596,0.8852524
0.054859996,0.8840363,0.88389915,0.88532704
0.054869995,0.88350093,0.8833707,0.8847978
0.054879997,0.88239723,0.8822746,0.8836986
0.054889996,0.8807949,0.88068056,0.88209987
0.054899998,0.87879497,0.878689,0.8801036
0.054909997,0.87652344,0.876426,0.8778365
0.054919995,0.8741234,0.87403417,0.8754422
0.054929998,0.8717458,0.87166446,0.87307155
0.054939996,0.8695403,0.869466,0.8708734
0.054949995,0.86764544,0.8675775,0.86898494
0.054959998,0.8661803,0.8661177,0.86752355
0.054969996,0.865237,0.8651787,0.86657953
